door_count,door_material,window_count,window_material,duration_days,labor_count
6,uPVC,15,Aluminium,1,5
6,Glass,10,Timber,1,9
9,Aluminium,13,Aluminium,10,1
10,Glass,15,Timber,2,7
3,Aluminium,8,Timber,2,4
7,Timber,14,uPVC,3,3
6,Timber,13,Timber,1,9
13,Aluminium,14,Aluminium,2,4
6,Glass,11,Timber,1,7
2,Glass,13,uPVC,1,12
3,Glass,6,Timber,1,6
7,Glass,15,Timber,6,2
3,uPVC,6,Aluminium,1,8
6,uPVC,12,Timber,1,11
14,uPVC,15,Timber,1,8
10,Timber,12,uPVC,3,3
5,Aluminium,15,Aluminium,1,13
3,Glass,11,uPVC,3,2
9,Timber,15,Timber,1,10
13,Aluminium,15,uPVC,1,7
14,uPVC,15,Timber,17,1
3,Glass,13,Timber,12,1
4,Timber,15,Aluminium,1,11
2,Glass,6,Aluminium,2,2
5,Timber,13,Timber,4,3
9,Timber,12,Aluminium,5,2
5,Timber,9,uPVC,1,10
14,uPVC,15,uPVC,1,13
8,uPVC,11,Timber,3,3
3,uPVC,6,Timber,1,7
7,Aluminium,12,uPVC,3,2
12,Glass,14,Timber,7,2
13,Aluminium,14,uPVC,13,1
7,Timber,12,uPVC,2,4
8,Aluminium,14,Timber,16,1
8,Timber,13,uPVC,2,5
5,Timber,13,uPVC,1,13
8,Glass,14,Aluminium,5,2
5,uPVC,9,Aluminium,1,8
9,uPVC,15,Aluminium,4,2
4,Timber,15,Timber,2,4
12,Aluminium,13,Timber,16,1
7,Timber,14,Timber,1,10
13,Timber,15,Aluminium,1,11
8,Aluminium,11,Aluminium,1,13
12,Glass,15,Timber,1,12
4,Timber,6,uPVC,1,9
12,uPVC,13,uPVC,1,7
11,Glass,14,Aluminium,1,12
3,Timber,12,Timber,1,7
10,Aluminium,13,Timber,1,12
6,Aluminium,10,Timber,1,12
5,Glass,13,Aluminium,4,2
5,Timber,12,Aluminium,1,6
8,Aluminium,12,uPVC,1,10
14,Glass,15,uPVC,2,5
11,Glass,15,Aluminium,1,8
6,Timber,14,Aluminium,2,5
5,Glass,7,Aluminium,1,7
5,Timber,6,Timber,1,4
6,Aluminium,7,Aluminium,3,2
11,uPVC,12,Timber,3,3
10,uPVC,11,Aluminium,1,7
9,uPVC,13,Timber,1,8
2,Aluminium,9,Aluminium,5,1
3,Aluminium,13,Timber,1,9
7,Glass,12,uPVC,1,7
8,Glass,15,Timber,3,4
10,Glass,12,Timber,1,12
3,Timber,10,uPVC,1,6
3,Aluminium,6,Timber,1,13
8,Glass,13,Aluminium,1,7
8,Glass,12,Timber,3,3
7,Timber,10,Timber,3,4
4,Aluminium,13,Aluminium,1,11
10,uPVC,14,Timber,2,5
8,Aluminium,9,Aluminium,1,11
8,Aluminium,13,Timber,2,6
2,Aluminium,5,Aluminium,1,12
4,uPVC,11,Aluminium,1,5
3,Aluminium,10,uPVC,1,6
3,uPVC,15,Timber,3,3
10,Aluminium,15,Timber,2,5
8,Timber,13,Timber,1,10
3,Aluminium,4,Aluminium,1,5
7,uPVC,14,Timber,1,7
5,uPVC,8,Timber,1,8
4,uPVC,11,Timber,5,2
8,Glass,13,Aluminium,11,1
8,Timber,11,uPVC,1,10
6,uPVC,11,uPVC,1,12
13,uPVC,14,Timber,1,12
11,Glass,15,Timber,1,11
11,Timber,15,uPVC,1,9
13,Timber,15,uPVC,1,8
9,Glass,12,Timber,2,5
11,Timber,13,uPVC,13,1
6,uPVC,15,uPVC,1,5
12,uPVC,14,Timber,1,9
10,Aluminium,11,Aluminium,1,7
6,uPVC,13,Timber,2,5
4,Glass,7,Timber,1,12
13,Timber,14,Aluminium,2,6
4,Glass,15,Timber,1,12
12,Timber,13,Aluminium,1,11
4,uPVC,5,Aluminium,2,2
8,Glass,12,Aluminium,1,11
4,Aluminium,11,Timber,1,10
4,uPVC,14,Aluminium,1,12
2,Aluminium,4,uPVC,1,6
9,Glass,13,uPVC,1,9
7,Aluminium,10,uPVC,1,5
12,Aluminium,14,Timber,1,10
12,Glass,14,uPVC,1,12
7,Aluminium,9,Timber,1,9
11,Timber,14,Aluminium,1,7
3,Aluminium,11,uPVC,1,3
2,Aluminium,9,Aluminium,1,3
14,Aluminium,15,Timber,19,1
4,Aluminium,12,Timber,2,4
7,Glass,8,Timber,1,11
4,uPVC,11,uPVC,1,13
6,uPVC,8,Timber,2,3
7,Aluminium,14,Timber,2,6
12,uPVC,15,Timber,3,3
10,Timber,13,uPVC,2,4
11,uPVC,12,uPVC,1,11
11,Timber,14,uPVC,2,4
8,Aluminium,11,Aluminium,1,11
13,Glass,15,Aluminium,1,11
2,Glass,14,uPVC,1,13
13,Timber,15,Timber,2,10
13,uPVC,15,Aluminium,4,2
4,Timber,12,uPVC,3,2
9,Timber,15,Aluminium,1,10
11,Aluminium,13,Timber,1,8
11,Timber,15,Aluminium,2,6
12,uPVC,13,Timber,13,1
14,Glass,15,Timber,3,4
2,Timber,6,Aluminium,1,4
6,Aluminium,12,Timber,2,4
13,Timber,14,Timber,7,2
7,uPVC,9,Aluminium,1,12
5,Timber,9,Timber,1,8
3,uPVC,8,uPVC,1,8
13,Glass,14,Timber,1,13
8,Aluminium,15,Timber,2,5
2,Glass,9,uPVC,1,12
3,uPVC,8,Timber,8,1
8,uPVC,12,uPVC,1,8
13,Timber,15,Aluminium,1,10
14,Glass,15,Timber,2,8
3,uPVC,14,Timber,1,11
9,Aluminium,13,Aluminium,1,13
9,uPVC,15,Aluminium,1,6
14,uPVC,15,Aluminium,2,4
6,Aluminium,12,uPVC,1,13
11,Glass,13,uPVC,1,13
10,Timber,13,Timber,3,4
12,Aluminium,15,Timber,2,5
5,Glass,10,Timber,1,6
5,Aluminium,15,Aluminium,1,9
10,Timber,15,Timber,1,9
5,Timber,6,Timber,4,2
13,uPVC,15,Aluminium,3,3
12,Timber,15,uPVC,1,10
2,uPVC,8,Timber,1,8
7,Glass,10,Aluminium,1,7
11,Glass,13,Timber,1,9
10,Aluminium,12,uPVC,1,6
4,Glass,11,Aluminium,3,2
3,uPVC,9,Timber,1,11
6,Timber,15,Aluminium,11,1
12,Glass,15,Timber,2,6
11,Timber,12,uPVC,13,1
5,uPVC,9,Aluminium,1,9
7,uPVC,15,Timber,5,2
3,Glass,14,uPVC,1,8
2,Timber,10,uPVC,1,6
12,Timber,15,Aluminium,2,7
3,uPVC,14,Timber,1,12
11,uPVC,14,uPVC,1,5
4,Glass,9,Aluminium,1,5
7,Aluminium,14,Timber,2,4
3,uPVC,6,Aluminium,1,9
3,uPVC,15,uPVC,1,4
11,Timber,12,Timber,2,9
7,Aluminium,8,uPVC,1,8
14,uPVC,15,uPVC,2,3
10,uPVC,14,Timber,14,1
11,Timber,15,uPVC,1,8
2,uPVC,13,uPVC,1,5
7,Aluminium,14,uPVC,3,2
8,Aluminium,12,Aluminium,1,9
3,Aluminium,7,Timber,1,7
4,uPVC,12,Aluminium,3,2
9,uPVC,15,uPVC,2,4
8,Timber,14,Timber,2,7
13,Timber,14,uPVC,1,12
9,Timber,11,Timber,1,9
7,Glass,13,Timber,1,10
7,uPVC,8,Aluminium,1,5
4,uPVC,5,Aluminium,4,1
10,Timber,12,Timber,2,5
2,uPVC,14,Aluminium,1,5
3,Aluminium,14,Aluminium,1,10
11,uPVC,13,Timber,2,4
4,Aluminium,7,Timber,1,6
12,Glass,15,Aluminium,5,2
6,Timber,14,uPVC,1,12
2,uPVC,4,Aluminium,1,2
5,Aluminium,14,uPVC,1,9
10,Aluminium,13,Aluminium,1,10
3,Timber,10,Timber,1,13
7,Timber,9,Timber,1,13
13,Timber,14,uPVC,2,5
5,Timber,15,Timber,1,12
12,Aluminium,14,Aluminium,2,4
8,Glass,10,Aluminium,1,11
9,Timber,11,Aluminium,2,4
2,Glass,9,Timber,9,1
2,Timber,10,Aluminium,1,13
6,uPVC,14,Timber,2,5
12,Aluminium,13,Aluminium,2,5
7,uPVC,11,Timber,1,7
5,Timber,8,Aluminium,2,3
13,Aluminium,15,Timber,1,9
10,Aluminium,14,uPVC,2,3
6,Aluminium,7,Aluminium,1,12
4,Timber,11,uPVC,3,2
7,Timber,13,uPVC,2,3
6,Glass,9,Aluminium,3,2
13,Aluminium,14,uPVC,2,3
4,uPVC,13,Timber,2,5
13,Glass,15,uPVC,1,7
10,Glass,15,Timber,2,5
10,Aluminium,15,Timber,1,13
2,Glass,4,Timber,1,12
3,uPVC,9,uPVC,1,4
12,Aluminium,14,Timber,1,8
5,Aluminium,9,Timber,4,2
7,Timber,8,Timber,1,13
8,Glass,10,Timber,1,11
12,Glass,15,Timber,4,3
14,Glass,15,Aluminium,1,12
7,Timber,12,uPVC,5,2
4,uPVC,10,Aluminium,1,6
5,Glass,6,uPVC,1,11
10,Glass,13,uPVC,1,12
6,Timber,12,uPVC,4,2
3,Aluminium,7,Aluminium,1,5
9,Glass,11,uPVC,5,2
11,Aluminium,13,Aluminium,1,12
8,uPVC,13,uPVC,1,7
14,Aluminium,15,Timber,2,4
8,uPVC,13,uPVC,1,11
5,Timber,10,Aluminium,1,11
7,Glass,11,Timber,2,5
7,uPVC,12,uPVC,2,3
5,Timber,6,Timber,1,5
5,Aluminium,6,Aluminium,1,9
11,uPVC,15,uPVC,1,6
10,Timber,12,uPVC,2,5
12,Aluminium,13,uPVC,2,4
5,Timber,7,uPVC,1,5
11,Glass,15,Timber,19,1
8,Glass,9,Aluminium,1,9
12,Timber,14,Timber,20,1
6,Timber,12,Aluminium,1,9
13,uPVC,14,Timber,1,13
14,Glass,15,Timber,9,2
8,Aluminium,13,Aluminium,2,3
8,Aluminium,14,uPVC,2,3
8,Aluminium,9,uPVC,1,4
4,Timber,7,Aluminium,2,3
12,Timber,15,Aluminium,1,8
8,uPVC,15,Timber,1,9
4,uPVC,6,Timber,2,3
5,Timber,9,Aluminium,1,11
11,Glass,12,uPVC,1,8
