roof_area_m2,roof_height_m,roof_type,roof_covering,labor_count,duration_days
275.1,1.25,Gable,Concrete Tiles,4,37
174.5,2.93,Flat,RC Slab,9,27
311.7,3.88,Lean-to,Asbestos Sheets,10,17
247.6,3.35,Gable,Clay Tiles,15,20
95.6,2.08,Gable,Clay Tiles,4,18
392.6,1.36,Hip,Concrete Tiles,7,32
270.2,3.82,Lean-to,Asbestos Sheets,11,12
279.9,3.8,Flat,RC Slab,15,31
104.8,2.59,Flat,RC Slab,5,21
177.3,2.83,Hip,Asbestos Sheets,11,14
158.2,2.46,Gable,Metal Sheets,14,8
350.5,2.38,Hip,Concrete Tiles,10,26
230.5,1.64,Gable,Concrete Tiles,7,23
295.1,1.56,Flat,RC Slab,5,44
175.6,1.97,Gable,Concrete Tiles,6,22
126.7,3.37,Gable,Concrete Tiles,2,31
204.5,1.73,Hip,Clay Tiles,4,40
85.8,1.96,Hip,Concrete Tiles,8,13
297.3,2.63,Flat,RC Slab,3,52
226.8,1.93,Hip,Metal Sheets,2,35
269.1,1.78,Lean-to,Metal Sheets,11,13
154.5,2.66,Lean-to,Asbestos Sheets,2,26
387,2.28,Lean-to,Asbestos Sheets,3,30
329.7,2.8,Flat,RC Slab,10,30
276.8,3.67,Flat,RC Slab,14,31
119.9,1.75,Flat,RC Slab,12,18
181.4,3.68,Hip,Clay Tiles,2,51
77.9,3.63,Gable,Clay Tiles,4,16
111.1,3.35,Hip,Clay Tiles,12,18
242.9,2.81,Gable,Clay Tiles,12,21
264.2,2.78,Gable,Concrete Tiles,7,25
383.7,2.83,Lean-to,Metal Sheets,15,10
148,2.95,Gable,Clay Tiles,14,15
158.1,1.11,Hip,Clay Tiles,12,18
182.1,3.93,Flat,RC Slab,12,27
118.8,2.71,Gable,Metal Sheets,12,7
105.3,3.2,Lean-to,Asbestos Sheets,4,13
183.7,2.29,Gable,Clay Tiles,11,17
126.6,1.07,Lean-to,Metal Sheets,15,5
238.6,2.55,Lean-to,Metal Sheets,5,18
174,2.54,Gable,Clay Tiles,2,49
299.5,2.41,Gable,Clay Tiles,7,30
248.6,2.22,Gable,Clay Tiles,5,32
145,2.02,Hip,Clay Tiles,15,15
299.4,2.58,Gable,Asbestos Sheets,8,16
287.5,2.29,Lean-to,Metal Sheets,11,10
162.1,4.02,Gable,Metal Sheets,15,9
