wall_type,floor_area_m2,total_wall_area_m2,labor_count,duration_days
Brick,270.8,500,18,11
Concrete Block,207.1,332.8,19,7
Brick,160.2,328.4,16,9
Concrete Block,156.4,274.2,20,6
Concrete Block,145.7,215.3,20,6
Concrete Block,235.4,425,15,8
Concrete Block,225.3,364.4,16,8
Concrete Block,156.4,274.2,12,7
Brick,120,201.5,11,8
Brick,212.4,371.4,10,13
Concrete Block,156.4,274.2,10,7
Brick,172.4,327.8,12,10
Brick,240.9,408.8,19,9
Brick,233.6,358.7,11,11
Brick,229.3,381,9,13
Brick,232.9,365.7,11,12
Brick,186.7,357.2,20,9
Concrete Block,120.5,233.9,7,8
Brick,260.2,428.5,3,23
Brick,262.5,500,6,19
Concrete Block,174.5,317.1,12,9
Brick,158.7,282.5,19,8
Concrete Block,137.3,237.4,6,8
Brick,158.7,282.5,13,9
Brick,257.2,433.9,13,12
Concrete Block,143.5,240.4,9,7
Brick,227.4,331.3,17,8
Brick,178.7,296,20,8
Brick,227.4,331.3,3,18
Concrete Block,132.1,240.9,15,7
Brick,232.9,365.7,12,11
Brick,127.6,226,17,8
Brick,270.8,500,5,21
Brick,240.9,408.8,17,10
Brick,240.9,408.8,11,12
Brick,264.9,481.7,17,11
Brick,147.3,258.9,19,8
Brick,190.8,330.2,5,16
Brick,178.7,309.7,19,8
Concrete Block,102.3,154.5,15,5
Concrete Block,151.8,311.1,7,11
Brick,227.4,331.3,4,16
Concrete Block,219.6,429.2,5,14
Brick,233.1,398.6,16,10
Brick,145.7,269,17,8
Brick,127.6,226,18,8
Concrete Block,145.7,215.3,15,6
Brick,192.1,307.6,14,9
Concrete Block,178.7,293.1,13,7
Brick,127.6,226,7,11
Brick,117.1,207.8,13,8
Brick,249.8,454.7,14,12
Brick,253.9,439.4,4,22
Concrete Block,120.5,233.9,4,10
Brick,255.1,402.1,4,19
Brick,221.9,386.7,18,9
Brick,269.5,500,12,12
Brick,145.6,264.1,16,8
Brick,257.2,433.9,16,11
Concrete Block,199.3,400.8,20,7
Concrete Block,246.5,387.4,14,7
Brick,183.8,353.1,3,21
Concrete Block,260.2,420.5,11,10
Concrete Block,102.3,154.5,4,8
Concrete Block,202.9,365.5,18,7
Concrete Block,218.1,418.9,20,8
Concrete Block,162.4,311.8,20,6
Brick,167.4,304.8,15,8
Brick,173.3,283.9,13,11
Brick,144,230.4,16,8
Brick,218.3,393.4,6,14
Brick,255.1,402.1,10,12
Concrete Block,219.1,443.9,3,21
Brick,249.8,454.7,7,17
Brick,228.7,361.6,20,8
Brick,213.8,354.6,14,10
Brick,223.2,346,18,10
Brick,186.7,357.2,14,11
Concrete Block,219.6,429.2,8,11
Brick,115.4,200.3,16,7
Brick,228.7,361.6,18,9
Brick,117.5,208.8,3,15
Concrete Block,157.6,309.3,13,8
Brick,117.5,208.8,7,10
Brick,276.2,477.7,16,11
Brick,205.1,378.2,16,10
Brick,91.9,141.9,9,7
Brick,200.6,366.5,7,14
Brick,172.4,327.8,2,25
Brick,145.7,269,6,11
Brick,180.7,281.2,9,11
Concrete Block,151.7,247.2,10,7
Brick,213.8,354.6,9,12
