floor_area_m2,material_type,location,floors,labor_count,duration_days
196.48,Tiles,Indoor,5,10,9
948.71,Tiles,Indoor,1,8,35
51.81,Tiles,Outdoor,1,9,4
812.04,Hardwood,Outdoor,2,4,104
3342.15,Cement Rendering,Indoor,6,9,94
2040.81,Tiles,Both,2,9,82
1851.87,Hardwood,Outdoor,4,2,534
66.3,Cement Rendering,Indoor,1,5,3
406.83,Tiles,Indoor,1,16,10
558.05,Cement Rendering,Outdoor,1,7,17
4100.36,Tiles,Outdoor,6,12,160
25.14,Tiles,Indoor,1,16,3
1335.64,Titanium,Indoor,8,8,95
59.46,Tiles,Indoor,3,14,4
316.76,Hardwood,Outdoor,1,2,75
120.39,Titanium,Indoor,1,7,8
3823.26,Hardwood,Both,1,11,179
513.38,Tiles,Outdoor,1,7,25
771.41,Hardwood,Indoor,3,4,95
4676.43,Tiles,Outdoor,3,4,421
1717.4,Titanium,Outdoor,1,6,116
168.66,Hardwood,Both,2,2,47
2409.87,Cement Rendering,Indoor,1,11,42
1019.14,Tiles,Outdoor,1,14,27
312.1,Tiles,Outdoor,1,6,18
4125.05,Tiles,Outdoor,1,5,257
114.13,Cement Rendering,Indoor,1,10,3
164.87,Hardwood,Indoor,1,10,9
41.17,Hardwood,Outdoor,2,12,4
1124.51,Cement Rendering,Indoor,2,8,28
1945.05,Hardwood,Indoor,2,6,148
1223.47,Cement Rendering,Indoor,2,5,48
167.72,Tiles,Both,3,2,34
4590.23,Hardwood,Both,6,4,790
313.31,Tiles,Indoor,2,19,8
145.45,Tiles,Indoor,9,20,6
625.69,Cement Rendering,Indoor,9,9,21
644,Cement Rendering,Outdoor,3,13,14
173.72,Cement Rendering,Indoor,3,10,5
39.18,Hardwood,Indoor,3,10,4
542.29,Tiles,Both,1,11,19
83.33,Titanium,Indoor,2,11,5
93.33,Hardwood,Both,1,5,11
169.32,Hardwood,Both,2,4,24
1996.31,Tiles,Both,4,1,811
1309.64,Titanium,Both,1,3,185
108.52,Tiles,Outdoor,4,4,12
344.41,Tiles,Both,6,3,55
352.27,Cement Rendering,Both,4,5,19
1738.31,Tiles,Indoor,1,14,41
3864.43,Hardwood,Outdoor,1,3,598
163.84,Titanium,Both,7,5,22
36.45,Titanium,Both,2,10,4
168.78,Hardwood,Both,6,14,11
137.85,Tiles,Both,6,13,7
1254.3,Titanium,Indoor,7,13,58
150.65,Tiles,Indoor,5,5,13
50.9,Tiles,Both,9,5,7
428.4,Hardwood,Outdoor,8,3,105
2947.24,Hardwood,Indoor,1,7,177
1333.94,Tiles,Outdoor,2,9,51
133.41,Cement Rendering,Both,3,11,4
1940.4,Tiles,Indoor,4,6,113
155.68,Titanium,Indoor,2,7,11
364.01,Cement Rendering,Indoor,8,10,11
4039.17,Tiles,Outdoor,1,6,210
540.01,Titanium,Indoor,2,5,44
738.83,Titanium,Indoor,1,8,35
388.48,Hardwood,Both,4,5,49
23.91,Cement Rendering,Indoor,6,2,4
570.82,Cement Rendering,Outdoor,3,5,27
184.43,Titanium,Both,1,7,13
173.27,Tiles,Indoor,1,13,6
677.08,Titanium,Both,3,16,26
1841.9,Titanium,Outdoor,6,9,116
2064.47,Tiles,Indoor,1,10,59
1686.69,Tiles,Indoor,1,6,80
71.15,Tiles,Indoor,1,10,4
910.12,Tiles,Outdoor,2,4,78
741.1,Tiles,Outdoor,6,12,31
184.65,Tiles,Both,6,17,8
643.71,Tiles,Outdoor,1,5,42
198.97,Tiles,Outdoor,2,4,19
260,Tiles,Indoor,2,9,11
122.84,Cement Rendering,Indoor,1,7,4
72.3,Titanium,Indoor,5,13,5
33.1,Cement Rendering,Outdoor,10,6,3
664.58,Titanium,Both,8,4,111
44.38,Cement Rendering,Outdoor,3,5,3
655.71,Cement Rendering,Outdoor,5,3,58
2440.06,Cement Rendering,Indoor,2,10,48
3492.24,Titanium,Indoor,4,10,157
143.6,Hardwood,Outdoor,1,19,6
1390.9,Tiles,Indoor,3,6,77
2198.14,Cement Rendering,Both,4,13,50
1540.89,Titanium,Both,1,12,60
480.28,Tiles,Outdoor,1,13,15
948.24,Hardwood,Indoor,2,9,49
198.77,Hardwood,Indoor,1,12,9
160.85,Titanium,Indoor,1,16,6
135.21,Tiles,Both,4,10,7
671.83,Cement Rendering,Indoor,4,6,26
473.95,Tiles,Indoor,5,6,31
1261.29,Tiles,Indoor,1,3,119
652.8,Cement Rendering,Indoor,3,11,14
3812.07,Tiles,Indoor,1,5,214
22.26,Tiles,Indoor,9,9,3
259.17,Hardwood,Indoor,7,9,20
453.65,Cement Rendering,Indoor,8,8,17
1481.8,Cement Rendering,Outdoor,1,4,75
369.07,Hardwood,Indoor,5,9,25
1184.44,Tiles,Indoor,2,13,32
3264.15,Tiles,Outdoor,5,16,100
53.76,Titanium,Indoor,1,2,12
92.08,Tiles,Indoor,1,11,4
1572.4,Titanium,Both,5,10,89
758.94,Tiles,Outdoor,4,15,24
922.33,Cement Rendering,Indoor,5,9,25
39.9,Titanium,Outdoor,8,8,5
230.79,Cement Rendering,Indoor,2,5,10
