foundation_type,soil_condition,total_volume_m3,labor_count,duration_days
Pile,Normal,99.3,14,19
Rubble,Hard,32.9,9,3
Rubble,Normal,80.7,3,12
Raft,Soft,84.3,12,11
Raft,Soft,106.1,13,12
Concrete,Normal,103.3,2,30
Concrete,Hard,73,8,10
Strip,Hard,78.4,8,8
Concrete,Normal,82.2,3,20
Strip,Normal,24.1,10,3
Concrete,Normal,93.4,2,31
Rubble,Normal,58.3,8,5
Rubble,Normal,58.3,14,3
Concrete,Soft,49.6,15,5
Concrete,Soft,34.6,3,10
Raft,Normal,73.8,3,27
Pile,Normal,50,6,16
Concrete,Normal,58.5,9,7
Rubble,Soft,71.8,14,3
Rubble,Normal,58.8,8,4
Strip,Normal,128.6,3,24
Raft,Normal,111.7,15,12
Strip,Normal,35.6,11,4
Concrete,Normal,117.1,7,16
Rubble,Normal,80.7,14,4
Concrete,Normal,119.8,12,10
Strip,Normal,35.6,13,4
Strip,Normal,83.1,4,14
Strip,Normal,105.7,14,7
Raft,Normal,164.6,14,18
Concrete,Soft,26.5,2,7
Raft,Normal,70.8,7,13
Strip,Normal,97,4,14
Rubble,Soft,29.3,13,2
Rubble,Soft,44.2,6,4
Raft,Normal,164.6,12,20
Rubble,Normal,58.8,12,3
Strip,Normal,60,2,16
Concrete,Hard,73,5,13
Strip,Soft,31.6,5,5
Concrete,Normal,89.5,7,12
Rubble,Normal,80.7,11,5
Raft,Hard,64.5,13,12
Strip,Normal,105.7,8,11
Strip,Soft,39.1,2,11
Concrete,Normal,117.1,5,20
Strip,Normal,105.7,7,12
Strip,Normal,44.1,8,5
Rubble,Normal,58.3,7,5
Concrete,Soft,34.6,8,6
Strip,Normal,142.8,13,9
Strip,Normal,65.7,9,6
Rubble,Soft,44.2,11,3
Raft,Normal,52.6,8,9
Strip,Normal,65.2,7,7
Raft,Hard,87.6,6,18
Concrete,Soft,94.2,14,8
Pile,Normal,99.3,6,32
Raft,Normal,51.9,6,13
Rubble,Soft,75.8,13,4
Strip,Normal,61.5,15,5
Strip,Normal,33,7,5
Strip,Normal,49.8,2,14
Raft,Normal,64.7,10,11
Raft,Normal,52.6,14,7
Rubble,Normal,37.8,8,3
Raft,Soft,106.1,3,28
Raft,Soft,84.3,11,11
Strip,Soft,88.7,14,6
Concrete,Hard,69.5,3,18
Rubble,Normal,58.8,10,4
Concrete,Normal,36.9,7,5
Concrete,Soft,47.9,3,12
Raft,Soft,106.1,7,17
Strip,Normal,60,11,5
Raft,Soft,84.3,2,31
Strip,Soft,100.1,6,10
Raft,Soft,106.1,11,13
Concrete,Hard,25,4,6
Strip,Normal,24.1,3,5
Strip,Normal,55.7,5,9
Strip,Normal,49.8,13,4
Concrete,Soft,49.6,8,7
Strip,Soft,64,8,6
Strip,Soft,88.7,13,6
Concrete,Hard,47.1,14,5
Strip,Soft,66.1,5,8
Raft,Normal,73.8,8,15
Strip,Normal,121.8,5,17
Concrete,Soft,82.6,10,7
Pile,Hard,118.2,7,31
Pile,Soft,23.7,5,9
Rubble,Soft,70.1,9,5
Strip,Normal,128.6,4,20
Raft,Normal,51.9,13,9
Strip,Normal,35.6,2,11
Strip,Normal,44.9,8,6
Raft,Normal,108.1,15,12
Raft,Normal,135.2,4,32
Rubble,Normal,56.4,7,5
Rubble,Soft,16.1,5,2
Concrete,Hard,74.7,2,29
Strip,Normal,142.8,9,11
Raft,Normal,64.7,3,22
Raft,Soft,143.7,3,42
Strip,Normal,142.8,15,8
Raft,Hard,64.5,4,23
Raft,Normal,108.1,14,12
Strip,Normal,55.7,9,6
Raft,Hard,65.5,10,12
Rubble,Soft,75.8,3,11
Raft,Soft,143.7,15,15
Strip,Normal,33,8,4
Rubble,Normal,37.8,4,5
Concrete,Normal,69.6,5,14
Concrete,Normal,105.9,13,8
Concrete,Soft,34.6,9,5
Strip,Normal,33,10,4
Strip,Normal,51.3,10,5
Rubble,Normal,26.9,6,2
Strip,Normal,44.9,7,6
Raft,Normal,108.1,8,17
Raft,Normal,51.9,8,11
Concrete,Normal,89.5,15,7
Concrete,Normal,82.2,5,14
Concrete,Normal,84.3,9,9
Concrete,Hard,73,12,8
Rubble,Normal,56.4,13,3
Strip,Normal,97,6,11
Raft,Normal,88.9,2,31
Concrete,Normal,119.8,7,14
Strip,Normal,57.3,13,5
Strip,Normal,61.5,14,5
Concrete,Normal,93.5,7,11
Strip,Soft,65,13,5
Concrete,Normal,69.6,6,12
Strip,Normal,43.8,8,5
Raft,Soft,100.8,14,12
Raft,Soft,100.8,5,21
Raft,Soft,178.5,11,25
Concrete,Soft,75,13,7
Concrete,Normal,69.6,12,8
Concrete,Soft,26.5,7,4
Raft,Normal,88.9,11,11
Concrete,Normal,58.5,11,6
Strip,Normal,44.9,5,8
Raft,Soft,97.3,13,10
Pile,Hard,46.8,9,15
Raft,Normal,164.6,13,19
Strip,Soft,78,3,14
Raft,Hard,64.5,5,20
Raft,Soft,79.6,8,12
Rubble,Soft,29.3,14,2
Rubble,Normal,29.1,15,2
Raft,Hard,65.5,6,16
Raft,Soft,84.3,5,17
Concrete,Hard,73,14,7
Concrete,Normal,85,2,25
Strip,Normal,65.2,9,6
Strip,Normal,61.5,12,6
Concrete,Normal,89.5,10,9
Raft,Soft,178.5,13,22
Strip,Normal,121.8,7,13
Concrete,Normal,119.8,2,34
Raft,Normal,135.2,2,50
Raft,Soft,183.4,5,36
Pile,Hard,39.1,12,10
Raft,Soft,143.7,13,17
Raft,Soft,183.4,12,20
Raft,Normal,93.8,3,26
Concrete,Normal,58.5,5,10
Strip,Soft,39.1,6,6
Raft,Soft,79.6,14,9
Raft,Normal,135.2,12,16
Rubble,Normal,26.9,15,1
Pile,Normal,73.9,2,39
Raft,Normal,73.8,13,11
Strip,Normal,65.7,3,13
Raft,Normal,64.7,13,9
Strip,Normal,97.8,13,7
Rubble,Soft,29.3,8,2
Concrete,Normal,93.4,10,10
Rubble,Normal,29.1,14,2
Concrete,Normal,105.9,15,7
Raft,Normal,135.2,9,19
Rubble,Normal,37.8,12,2
Concrete,Hard,69.5,11,8
Rubble,Soft,71.8,9,5
Rubble,Normal,58.8,15,3
Strip,Normal,35.9,11,4
Rubble,Soft,71.8,4,8
Strip,Normal,97,5,12
Concrete,Hard,16.7,2,7
Concrete,Soft,49.6,12,5
Pile,Soft,23.7,6,8
Rubble,Normal,26.9,14,1
Raft,Soft,106.1,15,11
Raft,Normal,108.1,12,13
Rubble,Normal,37.8,10,2
Concrete,Normal,119.8,9,12
Raft,Normal,137,13,17
Raft,Normal,108.1,13,13
Strip,Soft,31.6,12,3
Strip,Soft,39.1,10,4
Raft,Soft,143.7,9,21
Raft,Soft,146.9,2,48
Strip,Normal,97.8,14,7
Raft,Soft,97.3,5,18
Raft,Soft,97.3,8,13
Strip,Normal,65.2,4,10
Concrete,Soft,47.9,2,15
Strip,Normal,97.8,15,6
Concrete,Normal,82.2,8,10
Raft,Normal,70.8,13,9
Raft,Hard,65.5,7,15
Concrete,Normal,85,9,9
Raft,Normal,88.9,6,16
Concrete,Soft,34.6,12,4
Rubble,Normal,66,4,7
Raft,Normal,109.3,14,14
Strip,Normal,65.7,11,6
