paint_area_m2,painting_location,number_of_coats,floors,labor_count,duration_days
264.73,Interior,2,3,10,4
134.38,Interior,2,2,2,8
1992.55,Interior,2,1,12,17
437.8,Interior,4,1,1,82
439.83,Interior,1,2,4,6
108.64,Exterior,4,1,1,25
95.58,Interior,1,1,3,2
708.93,Interior,2,3,6,13
344.96,Exterior,2,1,20,3
114.86,Both,1,4,14,2
92.2,Both,4,1,9,4
1893.21,Interior,2,3,10,21
571.36,Interior,4,1,6,19
1060.68,Interior,3,2,10,18
3823.26,Both,4,1,10,95
2106.85,Interior,2,1,3,65
4405.14,Exterior,2,2,15,40
334.91,Both,2,3,6,9
519.24,Interior,2,9,12,8
225.6,Both,1,2,5,4
1019.14,Exterior,2,1,14,10
4822.35,Both,3,3,8,129
535.15,Interior,2,1,7,8
254.95,Exterior,1,1,3,6
97.6,Exterior,2,1,15,2
384.41,Exterior,2,1,8,6
507.4,Exterior,3,8,4,34
2161.21,Interior,2,2,2,107
99.96,Both,2,4,6,4
547.78,Interior,1,3,4,8
368.35,Interior,1,1,18,2
2134.93,Interior,3,3,14,29
109.34,Both,3,2,6,6
145.36,Both,2,1,7,4
63.59,Both,2,6,10,2
591.04,Interior,3,2,12,10
423.49,Interior,2,2,6,8
174.23,Exterior,1,2,7,2
4702.28,Both,2,1,13,49
792.99,Exterior,1,4,1,54
2836.59,Interior,2,2,5,57
118.58,Exterior,4,2,1,29
134.72,Interior,1,3,8,2
138.37,Exterior,3,1,12,4
709.19,Exterior,2,1,1,77
1157.92,Interior,2,3,14,11
4373.94,Both,2,1,12,48
843.11,Exterior,2,6,12,12
207.47,Interior,4,4,4,14
214.11,Both,2,3,8,5
2443.74,Interior,3,1,20,23
55.52,Both,2,2,16,2
136.91,Exterior,2,2,9,3
1123.94,Interior,2,2,12,11
289.42,Exterior,2,1,13,4
617.12,Interior,3,2,4,25
746.64,Exterior,2,2,3,30
207.15,Exterior,2,2,10,3
745.75,Both,2,1,10,10
213.68,Both,3,1,1,41
246.79,Exterior,3,2,15,5
189.27,Exterior,2,3,1,24
1172.81,Both,3,2,6,40
690.98,Exterior,4,2,19,12
645.88,Exterior,3,2,14,11
663.73,Both,2,3,7,14
65.5,Interior,2,1,7,2
126.61,Interior,2,2,4,4
364.55,Interior,4,2,10,9
254.24,Interior,3,4,19,5
654.31,Both,4,2,4,45
117.23,Exterior,2,1,7,3
3835.77,Both,3,3,4,204
142.34,Interior,2,1,4,4
240.24,Interior,3,2,6,8
3375.55,Exterior,3,3,12,58
54.08,Interior,2,3,7,2
391.68,Interior,3,7,7,13
2771.14,Interior,2,3,19,20
2996.63,Exterior,3,1,8,62
1821.1,Interior,4,3,4,98
288.86,Exterior,1,2,9,3
4089.33,Both,3,2,8,102
755.87,Both,2,4,8,15
2212.41,Interior,4,1,10,42
435.68,Exterior,2,2,8,7
226.06,Exterior,2,1,11,3
131.29,Exterior,2,2,9,3
959.1,Interior,3,1,9,17
439.72,Both,3,1,8,12
74.13,Interior,2,2,12,2
197.72,Interior,3,3,6,7
1304.32,Interior,2,3,1,139
3883.84,Exterior,2,4,6,87
508.7,Interior,2,1,14,5
63.07,Exterior,3,3,5,4
2713.87,Interior,3,2,10,42
154.51,Exterior,2,4,18,2
284.07,Both,1,3,8,3
337.22,Interior,1,1,10,3
268.92,Interior,2,4,2,16
2139.52,Exterior,3,6,10,50
79.8,Interior,2,1,15,2
1768.08,Interior,2,3,8,24
522.09,Interior,1,2,3,10
95.78,Exterior,4,2,3,9
669.95,Interior,2,2,5,14
698.02,Both,2,2,1,92
1361.34,Exterior,2,6,15,17
67.61,Interior,2,3,11,2
548.88,Interior,2,1,14,5
1146.85,Exterior,4,2,6,46
176,Both,3,1,4,10
248.45,Both,2,1,14,3
3230.36,Exterior,2,2,9,42
461.59,Both,2,4,13,7
2252.65,Interior,3,1,3,104
1786.29,Exterior,4,2,8,54
549.34,Exterior,2,1,10,7
720.95,Interior,2,2,14,7
615.37,Both,4,2,5,34
3330.65,Interior,3,1,11,45
1497.55,Exterior,2,2,18,13
469.22,Interior,2,3,8,7
738.2,Exterior,2,2,3,29
4367.17,Interior,1,2,14,18
109.89,Interior,2,1,9,2
156.23,Exterior,3,1,4,8
383.22,Both,2,2,3,18
744.5,Exterior,2,2,3,30
3248.59,Both,3,2,4,161
982.2,Interior,2,1,6,16
4145.92,Interior,3,3,6,111
2067.05,Both,4,3,3,196
88.03,Interior,3,3,7,4
746.97,Exterior,2,2,7,13
109.02,Exterior,2,1,8,2
752.5,Both,2,4,8,15
1376.48,Interior,4,1,19,18
4511.66,Interior,3,1,9,70
662.21,Interior,2,2,7,10
591.13,Both,2,2,9,10
1314.42,Interior,2,6,4,43
96.96,Exterior,2,1,15,2
658.51,Interior,2,1,9,8
3200.07,Exterior,2,2,3,124
187.14,Exterior,4,1,7,8
4872.58,Both,1,1,6,50
116.7,Both,3,1,15,4
93.19,Both,2,1,11,2
246.81,Both,2,3,1,36
121.65,Both,3,1,2,13
1694.82,Exterior,2,3,6,36
372.63,Exterior,3,5,8,12
780.25,Interior,2,2,9,10
1554.61,Both,2,1,5,39
552.05,Interior,4,2,10,13
686.41,Interior,3,4,7,19
738.56,Interior,3,1,8,15
616.14,Interior,2,5,1,75
69.31,Exterior,3,2,10,3
618.84,Interior,4,6,6,28
4001.42,Interior,3,1,7,80
1395.84,Exterior,2,1,4,38
2456.75,Both,3,2,3,163
104.65,Both,4,1,2,15
471.03,Interior,3,1,7,11
500.05,Interior,2,1,15,4
60.52,Interior,3,3,4,4
493.68,Interior,3,1,8,10
576.63,Exterior,2,1,16,6
110.28,Interior,2,1,1,11
487.43,Interior,2,1,8,7
222.35,Interior,1,5,15,2
473.03,Exterior,2,2,17,5
1851.19,Both,4,1,12,42
470.85,Interior,4,3,2,52
176.64,Exterior,2,3,7,4
79.29,Interior,3,3,7,4
4070.24,Exterior,3,2,10,73
792.61,Interior,4,1,9,18
417.25,Interior,1,2,4,6
123.75,Interior,3,8,5,7
505.03,Exterior,3,4,10,12
427.52,Exterior,2,1,3,16
2711.74,Exterior,1,3,20,12
338.15,Interior,2,2,5,8
176.18,Interior,2,2,8,3
1916.5,Both,4,1,7,68
1328.08,Exterior,3,1,6,38
125.34,Both,3,3,15,4
184.09,Exterior,1,1,18,2
3716.19,Interior,2,1,11,33
547.33,Exterior,2,3,15,6
125.34,Interior,3,3,12,4
875.23,Interior,3,7,9,22
97.83,Both,3,5,5,7
3654.74,Interior,2,2,17,26
1036.14,Interior,3,4,6,31
1677.53,Interior,1,1,10,9
137.49,Both,2,2,1,19
468.65,Interior,2,1,3,15
4598.1,Exterior,3,1,4,186
327.2,Exterior,2,1,3,13
79.9,Both,3,2,12,3
59.55,Interior,3,2,4,4
260.02,Exterior,2,1,10,4
564.29,Interior,3,2,10,10
682.74,Exterior,1,4,4,12
3134.87,Interior,3,1,6,73
2050.08,Interior,1,2,12,10
1964.28,Both,2,1,4,61
90.32,Both,4,1,4,7
3858.03,Interior,3,1,6,90
1364.94,Interior,2,4,9,18
87.36,Exterior,2,3,1,12
935.1,Exterior,3,2,1,164
109.13,Interior,3,1,9,4
224.01,Interior,4,1,16,5
177.5,Interior,3,3,17,4
1953.07,Interior,2,1,8,23
562.42,Exterior,3,6,6,23
541.67,Interior,3,1,2,39
