wall_area_m2,material,location,floors,labor_count,duration_days
207.09,Gypsum,Internal,1,5,3
424.47,Gypsum,Internal,3,7,6
774.88,Cement Sand,Both,2,7,20
34.01,Gypsum,Internal,2,5,1
4361.58,Cement Sand,Both,5,12,85
137.46,Cement Sand,External,1,10,2
747.97,Cement Sand,Internal,1,10,9
355.38,Cement Sand,Both,1,18,3
4580.68,Cement Sand,Internal,2,3,210
30.96,Cement Sand,Internal,4,1,5
1425.81,Gypsum,Both,2,4,44
129.82,Cement Sand,Both,1,11,2
248.95,Cement Sand,Both,1,3,14
36.31,Gypsum,Internal,3,15,1
4626.68,Cement Sand,Both,1,14,55
346.72,Gypsum,Internal,1,7,4
694.26,Gypsum,Both,2,6,14
102.89,Cement Sand,External,1,2,8
72.61,Cement Sand,External,3,13,1
875.82,Gypsum,External,1,12,8
625.43,Cement Sand,External,3,9,13
387.8,Cement Sand,Internal,2,2,27
4190.69,Cement Sand,Both,1,7,100
1634.41,Cement Sand,Internal,1,4,51
74.15,Gypsum,Internal,1,3,2
96.37,Cement Sand,Internal,2,13,1
720.02,Cement Sand,External,2,5,25
786.66,Cement Sand,Both,1,10,13
776.84,Gypsum,Internal,2,8,9
669.24,Cement Sand,Internal,1,9,9
689.94,Gypsum,Internal,2,3,21
379.78,Cement Sand,External,2,6,11
51.34,Gypsum,Internal,1,4,1
454.59,Gypsum,Internal,4,10,5
198.89,Gypsum,Both,5,10,3
296.48,Gypsum,Both,1,1,33
274.26,Cement Sand,Internal,8,3,19
1560,Cement Sand,Internal,2,15,14
25.42,Gypsum,Both,1,6,1
267.51,Cement Sand,Internal,2,5,7
3462.73,Cement Sand,External,4,10,70
1270.4,Gypsum,External,1,8,17
91.59,Cement Sand,External,1,2,7
120.75,Cement Sand,External,4,13,2
170.77,Cement Sand,External,1,10,3
588.22,Gypsum,Both,2,20,4
33.16,Cement Sand,Both,2,9,1
37.7,Gypsum,Internal,3,14,1
788.83,Gypsum,Internal,2,16,5
1065.23,Cement Sand,Internal,3,14,11
78.05,Cement Sand,Internal,1,9,1
140.83,Cement Sand,External,4,15,2
1308.45,Cement Sand,External,3,8,31
195.79,Cement Sand,External,2,15,2
94.78,Gypsum,Internal,2,11,1
1013.64,Cement Sand,External,1,5,32
116.89,Cement Sand,External,2,4,5
41.79,Cement Sand,External,1,3,2
500.73,Cement Sand,Internal,1,13,5
188.62,Gypsum,Both,1,17,1
45.91,Cement Sand,Internal,1,5,1
495.67,Cement Sand,External,3,3,31
84.95,Gypsum,Internal,2,8,1
105.05,Cement Sand,External,1,2,8
1236.24,Gypsum,Internal,3,3,41
20.41,Cement Sand,External,2,6,1
302.74,Gypsum,Internal,3,6,5
773.17,Gypsum,Internal,1,2,32
335.87,Gypsum,Internal,1,2,14
1941.39,Gypsum,External,4,8,33
90.29,Cement Sand,Both,5,9,2
491.75,Cement Sand,External,2,10,8
59.38,Gypsum,Both,9,10,1
43.76,Cement Sand,Both,1,1,7
169.23,Cement Sand,Both,1,7,4
36.77,Cement Sand,Internal,1,16,1
294.44,Cement Sand,External,3,10,6
349.87,Gypsum,Internal,4,7,5
209.3,Cement Sand,Both,2,13,3
69.19,Cement Sand,Internal,9,10,2
310.18,Gypsum,Internal,1,2,13
1120.88,Cement Sand,Internal,2,8,19
452.69,Gypsum,Internal,3,6,8
207.96,Gypsum,External,2,10,2
683.91,Gypsum,Internal,4,10,7
788.89,Gypsum,Internal,1,9,7
78.17,Cement Sand,Both,2,10,1
403.75,Cement Sand,Both,2,20,4
1974.59,Cement Sand,External,1,4,77
774.99,Gypsum,External,2,7,13
1581.4,Cement Sand,Internal,2,13,17
2357.27,Gypsum,Internal,4,1,255
125.31,Cement Sand,Internal,1,10,2
321.26,Gypsum,Internal,1,12,2
4711.96,Cement Sand,Internal,2,4,162
2085.51,Gypsum,External,7,7,50
599.73,Cement Sand,Internal,1,1,75
1005.31,Cement Sand,External,5,15,15
89.41,Cement Sand,Internal,1,10,1
681.73,Cement Sand,External,1,12,9
540.37,Gypsum,Both,1,6,10
2272.53,Gypsum,External,1,7,34
147.93,Cement Sand,Internal,1,4,5
142.38,Gypsum,External,2,3,5
96.63,Gypsum,External,1,2,5
381.83,Cement Sand,External,9,17,6
2260.61,Cement Sand,Internal,1,12,24
335.72,Gypsum,External,6,9,6
2193.98,Gypsum,Internal,6,7,39
584.88,Cement Sand,Internal,1,3,24
490.71,Gypsum,Internal,3,6,8
2523.69,Gypsum,Internal,1,5,42
956.9,Gypsum,Internal,1,16,5
652.48,Cement Sand,Internal,3,1,98
1078.74,Cement Sand,Internal,2,10,15
1912.72,Cement Sand,External,2,9,37
1948.87,Cement Sand,Internal,2,2,134
154.88,Cement Sand,Internal,3,10,2
821.27,Cement Sand,Internal,2,4,28
2225.04,Cement Sand,External,1,14,25
79.21,Gypsum,Internal,2,2,4
595.7,Cement Sand,Internal,7,3,40
165.04,Cement Sand,Both,10,10,5
2074.43,Gypsum,Both,3,9,31
166.08,Gypsum,Both,2,11,2
36.98,Cement Sand,External,1,11,1
4385.44,Cement Sand,Internal,1,2,274
88.88,Gypsum,External,1,7,1
321.66,Gypsum,Both,2,9,4
2164.44,Cement Sand,External,6,6,85
79.72,Cement Sand,Both,2,10,1
1987.54,Gypsum,External,1,3,69
93.34,Cement Sand,External,2,5,3
3099.94,Gypsum,Internal,1,4,65
759.56,Gypsum,Internal,3,6,13
217.28,Gypsum,Both,2,3,9
598.26,Gypsum,External,1,15,4
785.67,Gypsum,Both,1,12,7
1018.69,Gypsum,Both,3,8,17
2003.2,Gypsum,Both,6,3,111
464.97,Gypsum,Internal,1,1,39
528.04,Gypsum,Internal,2,3,16
768.55,Cement Sand,Internal,2,6,18
4953.49,Gypsum,Both,2,9,67
112.07,Cement Sand,External,2,6,3
1495.22,Gypsum,Both,1,15,11
1650.71,Gypsum,Internal,3,16,10
43.34,Cement Sand,Internal,1,2,3
598.22,Gypsum,External,6,13,7
50.93,Cement Sand,Internal,2,5,1
1435.15,Gypsum,External,2,5,33
133,Gypsum,External,6,11,2
773.91,Cement Sand,Internal,1,12,8
133.92,Cement Sand,Internal,1,5,3
1689.14,Cement Sand,External,3,11,29
127.1,Cement Sand,External,2,8,3
78.27,Cement Sand,Both,4,5,3
2103.93,Gypsum,Internal,7,12,23
4770.34,Cement Sand,Internal,2,6,109
728.15,Gypsum,Internal,4,6,13
648.73,Cement Sand,Both,2,10,12
1671.33,Cement Sand,Internal,1,4,52
938.01,Gypsum,Both,4,10,14
4948.11,Cement Sand,Internal,1,13,48
155.71,Gypsum,Internal,3,9,2
673.24,Cement Sand,Both,1,4,28
23,Gypsum,Internal,2,7,1
3973.22,Gypsum,Internal,2,10,36
2373.4,Gypsum,Internal,1,3,66
3098.18,Cement Sand,External,2,8,67
674.02,Cement Sand,Internal,2,7,13
578.2,Gypsum,Both,2,2,35
286.01,Cement Sand,Internal,2,8,5
124.12,Gypsum,External,2,9,2
2494.5,Cement Sand,Internal,1,14,22
38.85,Cement Sand,Both,4,19,1
3209.52,Gypsum,Internal,5,9,42
184.93,Cement Sand,External,1,8,4
687.8,Gypsum,Internal,1,3,19
35.79,Gypsum,Internal,2,11,1
164.19,Cement Sand,External,2,3,9
156.69,Cement Sand,External,4,8,4
509.49,Cement Sand,Internal,1,20,3
89.93,Gypsum,Internal,2,3,3
110.17,Cement Sand,Internal,2,1,15
109.57,Cement Sand,Both,2,5,4
64.47,Cement Sand,Both,1,5,2
1502.11,Cement Sand,Both,3,4,75
749.86,Cement Sand,Internal,5,18,7
26.95,Cement Sand,Internal,1,14,1
147.76,Cement Sand,Internal,2,1,20
3605.64,Cement Sand,Internal,1,15,30
146.31,Gypsum,External,1,9,2
83.57,Cement Sand,External,1,5,3
2012.18,Gypsum,Internal,2,9,20
771.89,Cement Sand,Both,2,5,28
1153.09,Cement Sand,Internal,5,6,34
270.54,Gypsum,Internal,3,19,1
108.24,Cement Sand,External,4,14,2
4676.58,Cement Sand,Internal,1,9,65
1336.04,Cement Sand,Internal,3,18,11
372.26,Cement Sand,External,5,9,9
44,Cement Sand,External,1,1,7
667.73,Gypsum,External,5,17,6
23.98,Cement Sand,External,1,6,1
888.08,Cement Sand,External,3,6,28
933.01,Cement Sand,Both,5,4,54
1995.08,Cement Sand,Both,7,10,53
2473.62,Gypsum,Internal,1,8,26
2517.99,Cement Sand,Internal,6,13,36
389.6,Gypsum,Both,4,4,14
2410.51,Cement Sand,Both,2,8,55
706.43,Cement Sand,Both,3,5,28
37.46,Cement Sand,Internal,7,5,1
797.61,Gypsum,Internal,2,7,10
880.34,Cement Sand,Internal,3,4,33
183.41,Cement Sand,Internal,4,8,4
1157.43,Cement Sand,External,1,12,15
